City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,69.8,scattered clouds,-20.34,57.76,Casa Tia Villa
31,Norman Wells,CA,68.0,scattered clouds,65.28,-126.83,Heritage Hotel
36,Rikitea,PF,67.01,overcast clouds,-23.12,-134.97,Pension Maro'i
44,Svetlyy,RU,68.0,broken clouds,54.67,20.13,"Gostinitsa-Kafe, Alena"
45,Senanga,ZM,68.14,clear sky,-16.12,23.27,Christopher Nasilele House
48,Caravelas,BR,70.83,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
58,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
68,Fairbanks,US,73.0,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
96,Cassilandia,BR,66.15,scattered clouds,-19.11,-51.73,Hotel Rafa Cassilândia
99,Tamandare,BR,74.39,scattered clouds,-8.76,-35.1,Pousada 100 Passos
101,Baia De Aries,RO,66.2,clear sky,46.38,23.28,Roua Muntelui
106,Champasak,LA,72.21,moderate rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
108,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
119,Sipe Sipe,BO,69.8,few clouds,-17.45,-66.38,Cabañas Oasis Marino
122,Senador Guiomard,BR,68.0,clear sky,-10.15,-67.74,Hotel Rondon
127,College,US,73.0,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
130,Maceio,BR,71.6,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
132,Arraial Do Cabo,BR,68.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
139,Antalaha,MG,65.91,scattered clouds,-14.9,50.28,Hotel Vitasoa
144,Belmonte,BR,69.8,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
146,Lagoa,PT,72.48,broken clouds,39.05,-27.98,Casa Das Faias
162,Haines Junction,CA,65.35,light rain,60.75,-137.51,Parkside Inn
164,Norrtalje,SE,66.99,scattered clouds,59.76,18.7,Norrtälje Vandrarhem Hvilan
169,Pringsewu,ID,72.43,scattered clouds,-5.36,104.97,Urban Style by Front One
170,Liepaja,LV,66.2,overcast clouds,56.54,21.04,Promenade Hotel
171,Terney,RU,66.85,overcast clouds,45.05,136.61,Sikhote-Alin'
189,Sioux Lookout,CA,69.8,thunderstorm with light rain,50.1,-91.92,Knobby's Fly-In Camps
193,Ribeira Grande,PT,72.97,scattered clouds,38.52,-28.7,Quinta da Meia Eira
197,Kuryk,KZ,69.13,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
200,Atambua,ID,73.35,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
209,Alyangula,AU,66.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
220,Yuzhou,CN,71.6,mist,34.16,113.46,Hancheng Wen Yuan Ge Hotel
221,Anchorage,US,73.0,scattered clouds,61.22,-149.9,Hotel Captain Cook
231,Passo De Camaragibe,BR,71.6,few clouds,-9.24,-35.49,Pousada Divino Milagre
239,Bafra,TR,66.2,few clouds,41.57,35.91,Sevgi Otel
243,Quatre Cocos,MU,69.8,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
246,Mareeba,AU,68.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
247,Sault Sainte Marie,CA,73.4,overcast clouds,46.52,-84.33,Comfort Inn
250,Mahebourg,MU,69.8,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
251,Mahajanga,MG,70.34,broken clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
274,Puerto Ayora,EC,66.99,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
284,Along,IN,71.67,broken clouds,28.17,94.77,Hotel West
285,Makat,KZ,68.47,overcast clouds,47.65,53.35,Gostinitsa Daulet
286,Bibiani,GH,69.37,broken clouds,6.46,-2.32,Rodick Hotel
291,Nynashamn,SE,66.99,scattered clouds,58.9,17.95,Nynäs Havsbad
301,Abha,SA,71.6,clear sky,18.22,42.51,Abha Hotel
302,Sambava,MG,67.71,broken clouds,-14.27,50.17,Melrose
305,Potsdam,DE,66.99,scattered clouds,52.4,13.07,Dorint Hotel Sanssouci Berlin/Potsdam
310,Praia Da Vitoria,PT,73.4,few clouds,38.73,-27.07,Hotel Branco I
317,Poum,NC,72.37,scattered clouds,-20.23,164.02,Gîte kajeon
320,Angoche,MZ,71.78,broken clouds,-16.23,39.91,Guest House HESADA
321,Laje,BR,73.26,clear sky,-10.18,-40.97,Pousada Centro
337,Howard Springs,AU,73.99,few clouds,-12.5,131.05,buffalo beach hostel
342,Soyo,AO,73.42,clear sky,-6.13,12.37,Hotel Mpampa
348,Joniskelis,LT,66.2,light rain,56.03,24.17,Liepu Cottage
351,Korla,CN,73.26,clear sky,41.76,86.15,Gulisitan Hotel
367,Leo,BF,73.13,overcast clouds,11.1,-2.1,Hotel Sissilis
371,Chapais,CA,66.2,few clouds,49.78,-74.85,Hôtel Opémiska
372,Kendari,ID,73.08,overcast clouds,-3.94,122.5,Hotel Wixel
379,Ponta Do Sol,PT,73.4,few clouds,32.67,-17.1,Hotel do Campo
381,Marawi,PH,73.99,broken clouds,8.0,124.29,Salihmaruhom
