City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,48.99,86,39,9.28,scattered clouds
1,Bambous Virieux,MU,-20.34,57.76,69.8,77,40,8.05,scattered clouds
2,Port Elizabeth,ZA,-33.92,25.57,57.2,93,40,4.7,scattered clouds
3,Hilo,US,19.73,-155.09,86.0,66,1,10.29,clear sky
4,Barcelos,PT,41.54,-8.62,64.99,88,1,8.05,clear sky
5,Kamenka,RU,51.32,42.77,54.0,72,69,1.99,broken clouds
6,Maneadero,MX,31.72,-116.57,82.0,78,3,3.0,light rain
7,Wichita Falls,US,33.91,-98.49,95.0,28,1,9.17,clear sky
8,Jilove,CZ,50.76,14.1,62.01,97,31,4.27,scattered clouds
9,Christchurch,NZ,-43.53,172.63,53.01,100,100,5.82,drizzle
10,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,11.41,few clouds
11,Lasa,IT,46.62,10.7,59.0,100,5,2.24,clear sky
12,Richards Bay,ZA,-28.78,32.04,64.45,68,0,12.1,clear sky
13,Barrow,US,71.29,-156.79,42.8,87,90,21.92,overcast clouds
14,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds
15,Mount Gambier,AU,-37.83,140.77,44.6,87,40,8.05,scattered clouds
16,Cherskiy,RU,68.75,161.3,36.28,94,100,23.26,light rain
17,Saint-Philippe,RE,-21.36,55.77,64.4,63,35,3.36,scattered clouds
18,Jamestown,US,42.1,-79.24,80.6,47,1,6.93,clear sky
19,Jibuti,DJ,11.5,42.5,91.4,63,1,5.59,clear sky
20,Mataura,NZ,-46.19,168.86,46.99,97,98,4.0,overcast clouds
21,Hermanus,ZA,-34.42,19.23,57.0,86,14,1.99,few clouds
22,Vaini,TO,-21.2,-175.2,78.8,88,75,9.17,broken clouds
23,Cururupu,BR,-1.83,-44.87,75.29,91,18,3.44,few clouds
24,Ilulissat,GL,69.22,-51.1,44.6,70,0,3.36,clear sky
25,Albany,US,42.6,-73.97,84.0,50,0,6.49,clear sky
26,Aklavik,CA,68.22,-135.01,55.4,82,40,2.24,scattered clouds
27,Atuona,PF,-9.8,-139.03,78.26,79,43,18.23,light rain
28,Sao Filipe,CV,14.9,-24.5,79.16,79,39,4.94,scattered clouds
29,Starobesheve,UA,47.75,38.03,59.14,52,15,9.6,few clouds
30,Kalmunai,LK,7.42,81.82,79.12,77,34,10.96,scattered clouds
31,Norman Wells,CA,65.28,-126.83,68.0,52,40,13.87,scattered clouds
32,Bathsheba,BB,13.22,-59.52,84.2,74,20,9.17,few clouds
33,Port Alfred,ZA,-33.59,26.89,59.29,71,0,11.5,clear sky
34,Saskylakh,RU,71.92,114.08,43.18,64,5,4.9,clear sky
35,Sortavala,RU,61.71,30.69,62.19,85,95,14.43,moderate rain
36,Rikitea,PF,-23.12,-134.97,67.01,73,87,18.52,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,44.6,78,75,19.46,light intensity drizzle
38,Longyearbyen,SJ,78.22,15.64,39.2,80,40,9.17,scattered clouds
39,Alpena,US,45.06,-83.43,75.2,73,1,5.82,clear sky
40,Honiara,SB,-9.43,159.95,84.2,74,40,2.24,scattered clouds
41,Bengkulu,ID,-3.8,102.27,75.07,87,65,3.49,broken clouds
42,Yarada,IN,17.65,83.27,78.8,94,75,5.82,mist
43,Zbarazh,UA,49.66,25.78,62.4,78,0,8.25,clear sky
44,Svetlyy,RU,54.67,20.13,68.0,94,75,4.47,broken clouds
45,Senanga,ZM,-16.12,23.27,68.14,40,0,10.11,clear sky
46,Kavieng,PG,-2.57,150.8,82.89,71,9,2.89,clear sky
47,Tasiilaq,GL,65.61,-37.64,46.4,52,58,9.17,broken clouds
48,Caravelas,BR,-17.71,-39.25,70.83,81,100,11.41,overcast clouds
49,Port Lincoln,AU,-34.73,135.87,51.13,63,53,9.26,broken clouds
50,Provideniya,RU,64.38,-173.3,51.58,82,100,6.15,light rain
51,Listvyanskiy,RU,54.44,83.5,52.9,85,100,5.77,overcast clouds
52,Kodiak,US,57.79,-152.41,62.87,68,23,2.86,few clouds
53,Pevek,RU,69.7,170.31,38.17,98,100,4.81,light rain
54,Kapaa,US,22.08,-159.32,87.01,62,20,12.75,few clouds
55,Qaanaaq,GL,77.48,-69.36,37.94,85,100,2.04,overcast clouds
56,Punta Arenas,CL,-53.15,-70.92,37.4,74,20,20.8,few clouds
57,Avarua,CK,-21.21,-159.78,77.0,73,10,14.99,clear sky
58,Luanda,AO,-8.84,13.23,71.6,88,75,3.36,broken clouds
59,Leningradskiy,RU,69.38,178.42,49.93,74,6,5.66,clear sky
60,Muros,ES,42.78,-9.06,63.0,84,2,1.01,clear sky
61,Nizwa,OM,22.93,57.53,85.01,54,96,2.21,overcast clouds
62,Severo-Kurilsk,RU,50.68,156.12,53.33,77,33,12.8,scattered clouds
63,Tiksi,RU,71.69,128.87,40.73,90,100,3.6,light rain
64,Gainesville,US,29.65,-82.32,81.0,83,90,9.17,overcast clouds
65,Pitimbu,BR,-7.47,-34.81,75.2,88,20,4.7,few clouds
66,Castro,BR,-24.79,-50.01,44.37,93,12,8.01,few clouds
67,Am Timan,TD,11.03,20.28,72.39,95,100,1.66,overcast clouds
68,Fairbanks,US,64.84,-147.72,73.0,46,90,6.93,overcast clouds
69,Hobart,AU,-42.88,147.33,48.0,81,75,9.17,light intensity shower rain
70,Cayenne,GF,4.93,-52.33,82.4,74,3,3.36,clear sky
71,Marsassoum,SN,12.83,-15.98,75.92,92,90,5.93,overcast clouds
72,Faanui,PF,-16.48,-151.75,76.95,78,11,21.61,few clouds
73,Lebu,CL,-37.62,-73.65,47.71,88,0,7.23,clear sky
74,Puerto Penasco,MX,31.32,-113.53,88.0,77,0,18.01,clear sky
75,Srednekolymsk,RU,67.45,153.68,36.28,94,100,11.27,overcast clouds
76,Hithadhoo,MV,-0.6,73.08,83.12,79,7,14.83,clear sky
77,Rocha,UY,-34.48,-54.33,45.27,73,0,5.06,clear sky
78,Dawei,MM,14.08,98.2,76.24,91,100,4.0,moderate rain
