City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tautira,PF,2020-08-20 00:13:20,-17.73,-149.15,80.6,65,75,8.05
1,Tasiilaq,GL,2020-08-20 00:13:20,65.61,-37.64,44.6,75,0,12.75
2,Punta Arenas,CL,2020-08-20 00:13:20,-53.15,-70.92,44.6,75,83,26.4
3,East London,ZA,2020-08-20 00:13:20,-33.02,27.91,52.74,56,5,5.73
4,Kapaa,US,2020-08-20 00:13:21,22.08,-159.32,84.2,66,1,14.99
5,Pacific Grove,US,2020-08-20 00:13:21,36.62,-121.92,77.0,41,90,4.7
6,Prince Rupert,CA,2020-08-20 00:12:13,54.32,-130.32,57.2,100,90,2.24
7,Aklavik,CA,2020-08-20 00:13:21,68.22,-135.01,60.8,72,40,3.36
8,Saint-Joseph,RE,2020-08-20 00:13:22,-21.37,55.62,69.01,68,90,3.36
9,Khatanga,RU,2020-08-20 00:13:22,71.97,102.5,52.27,60,55,10.29
10,Bredasdorp,ZA,2020-08-20 00:13:22,-34.53,20.04,50.0,76,100,1.12
11,Ushuaia,AR,2020-08-20 00:13:17,-54.8,-68.3,39.2,93,90,24.16
12,Mahebourg,MU,2020-08-20 00:13:23,-20.41,57.7,68.0,82,75,11.41
13,Road Town,VG,2020-08-20 00:09:56,18.42,-64.62,84.2,74,40,11.41
14,Bethel,US,2020-08-20 00:13:23,41.37,-73.41,71.6,64,1,4.7
15,Faanui,PF,2020-08-20 00:13:23,-16.48,-151.75,78.42,77,30,22.73
16,Mataura,NZ,2020-08-20 00:13:23,-46.19,168.86,55.0,83,33,1.99
17,Atuona,PF,2020-08-20 00:13:24,-9.8,-139.03,78.39,77,6,17.74
18,Rikitea,PF,2020-08-20 00:13:24,-23.12,-134.97,70.14,86,100,22.26
19,Saint-Augustin,CA,2020-08-20 00:13:24,51.23,-58.65,55.94,95,83,5.86
20,The Valley,AI,2020-08-20 00:09:45,18.22,-63.06,84.2,70,20,12.75
21,Narsaq,GL,2020-08-20 00:13:24,60.92,-46.05,51.8,62,32,4.7
22,Dikson,RU,2020-08-20 00:13:25,73.51,80.55,47.91,75,0,15.61
23,Kalmunai,LK,2020-08-20 00:13:25,7.42,81.82,77.31,83,100,7.11
24,Dingle,PH,2020-08-20 00:13:25,11.0,122.67,75.76,92,90,5.1
25,Sitka,US,2020-08-20 00:13:25,57.05,-135.33,64.4,68,90,3.36
26,Albany,US,2020-08-20 00:11:36,42.6,-73.97,70.0,44,10,1.01
27,Vilyuysk,RU,2020-08-20 00:13:26,63.76,121.62,50.7,59,0,7.7
28,Arraial Do Cabo,BR,2020-08-20 00:13:26,-22.97,-42.03,75.2,83,0,11.41
